id,value,
Mother,,
Mother.Biomonitoring,,
Mother.Biomonitoring.Urine,,
Mother.Biomonitoring.Urine.Oxidative Stress,,
Mother.Biomonitoring.Urine.Oxidative Stress.OHDG,,
Mother.Biomonitoring.Urine.Oxidative Stress.8-ISO,,
Mother.Biomonitoring.Urine.Oxidative Stress.8-ISO-M,,
Mother.Biomonitoring.Urine.Oxidative Stress.PGF2a,,
Mother.Biomonitoring.Urine.Metals,,
Mother.Biomonitoring.Urine.Metals.Al,,
Mother.Biomonitoring.Urine.Metals.As,,
Mother.Biomonitoring.Urine.Metals.Cd,,
Mother.Biomonitoring.Urine.Metals.Co,,
Mother.Biomonitoring.Urine.Metals.Cr,,
Mother.Biomonitoring.Urine.Metals.Cu,,
Mother.Biomonitoring.Urine.Metals.Fe,,
Mother.Biomonitoring.Urine.Metals.Mn,,
Mother.Biomonitoring.Urine.Metals.Mo,,
Mother.Biomonitoring.Urine.Metals.Ni,,
Mother.Biomonitoring.Urine.Metals.Pb,,
Mother.Biomonitoring.Urine.Metals.Sb,,
Mother.Biomonitoring.Urine.Metals.Se,,
Mother.Biomonitoring.Urine.Metals.Ti,,
Mother.Biomonitoring.Urine.Metals.U,,
Mother.Biomonitoring.Urine.Metals.V,,
Mother.Biomonitoring.Urine.Metals.W,,
Mother.Biomonitoring.Urine.Metals.Zn,,
Mother.Biomonitoring.Urine.PAHs,,
Mother.Biomonitoring.Urine.PAHs.1-OH NAP,,
Mother.Biomonitoring.Urine.PAHs.2-OH NAP,,
Mother.Biomonitoring.Urine.PAHs.1-OH PHE,,
Mother.Biomonitoring.Urine.PAHs.4-OH PHE,,
Mother.Biomonitoring.Urine.PAHs.9-OH PHE,,
Mother.Biomonitoring.Urine.PAHs.2-3-OH PHE,,
Mother.Biomonitoring.Urine.PAHs.1-OH PYR,,
Mother.Biomonitoring.Urine.PAHs.2-OH FLU,,
Mother.Biomonitoring.Urine.Phthalates,,
Mother.Biomonitoring.Urine.Phthalates.MCOCH,,
Mother.Biomonitoring.Urine.Phthalates.MHiNCH,,
Mother.Biomonitoring.Urine.Phthalates.MECPTP,,,
Mother.Biomonitoring.Urine.Phthalates.MEHHTP,,
Mother.Biomonitoring.Urine.Phthalates.MEHP,,
Mother.Biomonitoring.Urine.Phthalates.MEHHP,,
Mother.Biomonitoring.Urine.Phthalates.MEOHP,,
Mother.Biomonitoring.Urine.Phthalates.MECPP,,
Mother.Biomonitoring.Urine.Phthalates.MBzP,,
Mother.Biomonitoring.Urine.Phthalates.MCOP,,
Mother.Biomonitoring.Urine.Phthalates.MNP,,
Mother.Biomonitoring.Urine.Phthalates.MONP,,
Mother.Biomonitoring.Urine.Phthalates.MCNP,,
Mother.Biomonitoring.Urine.Phthalates.MCPP,,
Mother.Biomonitoring.Urine.Phthalates.MBP,,
Mother.Biomonitoring.Urine.Phthalates.MHBP,,
Mother.Biomonitoring.Urine.Phthalates.MiBP,,
Mother.Biomonitoring.Urine.Phthalates.MHiBP,,
Mother.Biomonitoring.Urine.Phthalates.MEP,,
Mother.Biomonitoring.Blood,,
Mother.Biomonitoring.Blood.Oxidative Stress,,
Mother.Biomonitoring.Blood.Oxidative Stress.~75 Eicosanoids,,
Mother.Biomonitoring.Blood.Oxidative Stress.Lipoxygenase,,
Mother.Biomonitoring.Blood.Oxidative Stress.Cyclooxygenase ,,
Mother.Biomonitoring.Blood.Oxidative Stress.Cytochrome P450,,
Mother.Biomonitoring.Blood.Oxidative Stress.Tyrosine Oxidation,,
Mother.Biomonitoring.Blood.Hormones,,
Mother.Biomonitoring.Blood.Hormones.CRH,,
Mother.Biomonitoring.Blood.Hormones.Estradiol,,
Mother.Biomonitoring.Blood.Hormones.Estriol,,
