id,value,
Mother,,
Mother.Biospecimen,,
Mother.Biospecimen.Urine,,
Mother.Biospecimen.Urine,,
Mother.Biospecimen.Urine.Metals,,
Mother.Biospecimen.Urine.Metals.Al,,
Mother.Biospecimen.Urine.Metals.As,,
Mother.Biospecimen.Urine.Metals.Cd,,
Mother.Biospecimen.Urine.Metals.Co,,
Mother.Biospecimen.Urine.Metals.Cr,,
Mother.Biospecimen.Urine.Metals.Cu,,
Mother.Biospecimen.Urine.Metals.Fe,,
Mother.Biospecimen.Urine.Metals.Mn,,
Mother.Biospecimen.Urine.Metals.Mo,,
Mother.Biospecimen.Urine.Metals.Ni,,
Mother.Biospecimen.Urine.Metals.Pb,,
Mother.Biospecimen.Urine.Metals.Sb,,
Mother.Biospecimen.Urine.Metals.Se,,
Mother.Biospecimen.Urine.Metals.Ti,,
Mother.Biospecimen.Urine.Metals.U,,
Mother.Biospecimen.Urine.Metals.V,,
Mother.Biospecimen.Urine.Metals.W,,
Mother.Biospecimen.Urine.Metals.Zn,,
Mother.Biospecimen.Urine.pesticides,,
Mother.Biospecimen.Urine.pesticides.25T,152,
Mother.Biospecimen.Urine.pesticides.24-D,152,
Mother.Biospecimen.Urine.pesticides.DEA,152,
Mother.Biospecimen.Urine.pesticides.3-PBA,141,
Mother.Biospecimen.Urine.pesticides.4-F-3-PBA,116,
Mother.Biospecimen.Urine.pesticides.DBCA,4.4,
Mother.Biospecimen.Urine.pesticides.DED,150,
Mother.Biospecimen.Urine.pesticides.DEP,3.0,
Mother.Biospecimen.Urine.pesticides.DTP,150,
Mother.Biospecimen.Urine.pesticides.DMD,150,
Mother.Biospecimen.Urine.pesticides.DMP,3.5,
Mother.Biospecimen.Urine.pesticides.DMT,150,
Mother.Biospecimen.Urine.pesticides.IMPY,152,
Mother.Biospecimen.Urine.pesticides.MDA,152,
Mother.Biospecimen.Urine.pesticides.DHD,152,
Mother.Biospecimen.Urine.pesticides.DEE,152,
