id,value
protect,
protect.Biological
protect.Biological.phenols
protect.Biological.phenols.24-dichlorophenol,2214
protect.Biological.phenols.25-dichlorophenol,2214
protect.Biological.phenols.benzophenone-3,2214
protect.Biological.phenols.bisphenolA,2214
protect.Biological.phenols.bisphenolF,1479
protect.Biological.phenols.bisphenolS,1479
protect.Biological.phenols.ButylParaben,2214
protect.Biological.phenols.EthylParaben,1479
protect.Biological.phenols.MethylParaben,2214
protect.Biological.phenols.PropylParaben,2214
protect.Biological.phenols.triclocarban,1479
protect.Biological.phenols.triclosan,2214
protect.Biological.phthalates
protect.Biological.phthalates.cyclohexane-12-dicarboxylicacidmonocarboxyisooctylester,930
protect.Biological.phthalates.Cyclohexane-12-dicarboxylicacidmonohydroxyisononylester,1499
protect.Biological.phthalates.Monocarboxyisononylphthalate,1724
protect.Biological.phthalates.Monocarboxyisooctylphthalate,1724
protect.Biological.phthalates.Mono-(2,6-dimethyl-6-carboxyhexyl)phthalate,152
protect.Biological.phthalates.Mono-(2,7-dimethyl-7-carboxyheptyl)phthalate,152
protect.Biological.phthalates.Mono-2-ethyl-5-carboxypentylphthalate,1876
protect.Biological.phthalates.Mono-2-ethyl-5-hydroxyhexylphthalate,1876
protect.Biological.phthalates.Mono-2-ethyl-5-oxohexylphthalate,1876
protect.Biological.phthalates.Mono-2-ethylhexylphthalate,1876
protect.Biological.phthalates.Mono-3-carboxypropylphthalate,1876
protect.Biological.phthalates.Monobenzylphthalate,930
protect.Biological.phthalates.Monoethylphthalate,930
protect.Biological.phthalates.Mono-hydroxybutylphthalate,1876
protect.Biological.phthalates.Mono-hydroxyisobutylphthalate,930
protect.Biological.phthalates.Mono-isobutylphthalate,1876
protect.Biological.phthalates.Mono-isononylphthalate,1876
protect.Biological.phthalates.Mono-n-butylphthalate,1876
protect.Biological.hormone
protect.Biological.hormone.Corticotropin-releasinghormone,881
protect.Biological.hormone.Estradiol,214
protect.Biological.hormone.Estriol,882
protect.Biological.hormone.FreeThyroxine,1095
protect.Biological.hormone.FreeTriiodothyronine ,214
protect.Biological.hormone.Progesterone,1094
protect.Biological.hormone.Sexhormonebindingglobulin,1089
protect.Biological.hormone.Testosterone,880
protect.Biological.hormone.Thyroid-stimulatinghormone,1084
protect.Biological.hormone.Totalthyroxine,879
protect.Biological.hormone.Totaltriiodothyronine,879
protect.Biological.oxidative_stress
protect.Biological.oxidative_stress.8-hydroxy-2'-deoxyguanosine,162
protect.Biological.oxidative_stress.8-isoprostane,162
protect.Biological.tracemetals
protect.Biological.tracemetals.Aluminum,83
protect.Biological.tracemetals.Antimony,87
protect.Biological.tracemetals.Arsenic,87
protect.Biological.tracemetals.Cadmium,86
protect.Biological.tracemetals.Chromium,82
protect.Biological.tracemetals.Cobalt,87
protect.Biological.tracemetals.Copper,87
protect.Biological.tracemetals.Iron,87
protect.Biological.tracemetals.Lead(208),87
protect.Biological.tracemetals.Manganese,85
protect.Biological.tracemetals.Molybdenum,86
protect.Biological.tracemetals.Nickel,86
protect.Biological.tracemetals.Selenium,86
protect.Biological.tracemetals.Selenium+G1124,1
protect.Biological.tracemetals.Thallium,86
protect.Biological.tracemetals.Tungsten,87
protect.Biological.tracemetals.Uranium,87
protect.Biological.tracemetals.Vanadium,87
protect.Biological.tracemetals.Zinc,87
protect.Biological.inflammation
protect.Biological.inflammation.c-reactiveprotein,387
protect.Biological.inflammation.interleukin1beta,387
protect.Biological.inflammation.interleukin10,387
protect.Biological.inflammation.interleukin6,387
protect.Biological.inflammation.tumornecrosisfactoralpha,387
protect.Biological.pesticides
protect.Biological.pesticides.245-T,152
protect.Biological.pesticides.24-D,152
protect.Biological.pesticides.3-(diethylcarbamoyl)benzoicacid,152
protect.Biological.pesticides.3-PBA,141
protect.Biological.pesticides.4-F-3-PBA,116
protect.Biological.pesticides.DBCA,152
protect.Biological.pesticides.Diethyldithiophosphate,150
protect.Biological.pesticides.Diethylphosphate,150
protect.Biological.pesticides.Diethylthiophosphate,150
protect.Biological.pesticides.Dimethyldithiophosphate,150
protect.Biological.pesticides.Dimethylphosphate,150
protect.Biological.pesticides.Dimethylthiophosphate,150
protect.Biological.pesticides.IMPY,152
protect.Biological.pesticides.MDA,152
protect.Biological.pesticides.NN-diethyl-3-(hydroxymethyl)benzamide,152
protect.Biological.pesticides.NN-Diethyl-meta-toluamide,152
protect.Biological.pesticides.N-ethyl-3-methyl-benzamide,152
protect.Biological.pesticides.PNP,152
protect.Biological.pesticides.TCPY,152
protect.Biological.pesticides.trans-DCCA,152
protect.Environmental
protect.Environmental.cvoc
protect.Environmental.cvoc.BDCM,3455
protect.Environmental.cvoc.CCl4,7771
protect.Environmental.cvoc.CDBM,3418
protect.Environmental.cvoc.cis-1,2-DCE,4573
protect.Environmental.cvoc.CM,3446
protect.Environmental.cvoc.PCE,5464
protect.Environmental.cvoc.TCE,5725
protect.Environmental.cvoc.TCM,4509
protect.Environmental.cvoc.trans-1,2-DCE,4529
protect.Environmental.cvoc.VC,4312,4312
protect.Environmental.cvoc.1112-TeCA,3422
protect.Environmental.cvoc.111-TCA,4548
protect.Environmental.cvoc.1122-TeCA,3422
protect.Environmental.cvoc.112-TCA,4968
protect.Environmental.cvoc.11-DCA,3690
protect.Environmental.cvoc.11-DCE,4573
protect.Environmental.cvoc.12-DCA,5107
protect.Environmental.cvoc.BF,3391
protect.Environmental.cvoc.CA,3468
protect.Environmental.water-quality-measurments
protect.Environmental.water-quality-measurments.alkalinity,107
protect.Environmental.water-quality-measurments.Ca++,145
protect.Environmental.water-quality-measurments.Cl-,252
protect.Environmental.water-quality-measurments.dissolvedoxygen,344
protect.Environmental.water-quality-measurments.F-,252
protect.Environmental.water-quality-measurments.FeII,34
protect.Environmental.water-quality-measurments.K+,145
protect.Environmental.water-quality-measurments.Li+,136
protect.Environmental.water-quality-measurments.Mg++,145
protect.Environmental.water-quality-measurments.Na+,145
protect.Environmental.water-quality-measurments.NH4+,129
protect.Environmental.water-quality-measurments.NO2-,251
protect.Environmental.water-quality-measurments.NO3-,252
protect.Environmental.water-quality-measurments.ORP,339
protect.Environmental.water-quality-measurments.pH,386
protect.Environmental.water-quality-measurments.PO4---,252
protect.Environmental.water-quality-measurments.SO4--,251
protect.Environmental.water-quality-measurments.specificconductance,387
protect.Environmental.water-quality-measurments.watertemperature,397
protect.Environmental.phthalatedata
protect.Environmental.phthalatedata.DEHP,2880
protect.Environmental.phthalatedata.BBP,87
protect.Environmental.phthalatedata.DBP,995
protect.Environmental.phthalatedata.DEP,1000
protect.Environmental.phthalatedata.DMP,94
protect.Environmental.phthalatedata.DNOP,100
protect.HumanSubject
protect.HumanSubject.initial_screening
protect.HumanSubject.initial_screening.SECTION0,9972
protect.HumanSubject.initial_screening.SECTION1,8310
protect.HumanSubject.initial_screening.SECTION2,10803
protect.HumanSubject.initial_screening.SECTION3,831
protect.HumanSubject.initial_screening.SECTION4,15789
protect.HumanSubject.consent_form
protect.HumanSubject.consent_form.BIOLOGICALSAMPLES,4986
protect.HumanSubject.first_visit
protect.HumanSubject.first_visit.GESTATIONALAGE,9141
protect.HumanSubject.first_visit.DEMOGRAPHICINFORMATION,10803
protect.HumanSubject.first_visit.EMPLOYMENT,7479
protect.HumanSubject.first_visit.WORKHISTORY,18282
protect.HumanSubject.first_visit.INCOME,2493
protect.HumanSubject.first_visit.TOBACCOISM,18282
protect.HumanSubject.first_visit.ALCOHOLUSE,2493
protect.HumanSubject.first_visit.DRUGUSE,4986
protect.HumanSubject.first_visit.WATERUSE,5817
protect.HumanSubject.first_visit.PERSONALMEDICALHISTORY,29916
protect.HumanSubject.first_visit.PREGNANCYHISTORY,12465
protect.HumanSubject.first_visit.PREVIOUSPREGNANCYCOMPLICATIONS,11634
protect.HumanSubject.first_visit.CURRENTPREGNANCYCOMPLICATIONS,11634
protect.HumanSubject.first_visit.DIETARYSUPPLEMENTS,831
protect.HumanSubject.first_visit.PHYSICALACTIVITY,4155
protect.HumanSubject.first_visit.PHYSICALEXAMINATIONRESULTS,16620
protect.HumanSubject.Med_Rec_V1
protect.HumanSubject.Med_Rec_V1.FIRSTSONOGRAM,14958
protect.HumanSubject.Med_Rec_V1.PRENATALVISIT-VitalSigns,14127
protect.HumanSubject.Med_Rec_V1.FETALMEASURES,4155
protect.HumanSubject.Med_Rec_V1.PHYSICALEXAM,9972
protect.HumanSubject.Med_Rec_V1.PRESCRIBEDMEDICATION,17451
protect.HumanSubject.Med_Rec_V1.PRENATALLABORATORYTEST,11634
protect.HumanSubject.Med_Rec_V1.FBS,15789
protect.HumanSubject.Med_Rec_V1.BLOODTYPE/GROUP,2493
protect.HumanSubject.Med_Rec_V1.CBC,8310
protect.HumanSubject.Med_Rec_V1.WBCDIFERENCIAL,6648
